Symbol,Date,Open,High,Low,Close,Adj Close,Volume
HINDUNILVR,14-10-2022,2590,2624.899902,2570.199951,2575.800049,2537.905029,1001536
HINDUNILVR,17-10-2022,2573.600098,2609.949951,2568,2590.550049,2552.437744,778918
HINDUNILVR,18-10-2022,2620,2642,2597,2602.25,2563.965576,1123374
HINDUNILVR,19-10-2022,2615.300049,2617.5,2578.399902,2583,2544.999023,1241979
HINDUNILVR,20-10-2022,2568.149902,2610,2568.149902,2600.899902,2562.635498,1428125
HINDUNILVR,21-10-2022,2606,2666.75,2606,2653.899902,2614.855713,2458302
HINDUNILVR,24-10-2022,2610.100098,2640,2550,2573.100098,2535.244629,719908
HINDUNILVR,25-10-2022,2586,2586,2500,2505.399902,2468.540527,2923789
HINDUNILVR,27-10-2022,2494,2530,2488,2519,2481.940674,1846329
HINDUNILVR,28-10-2022,2526.100098,2550.899902,2512,2524.25,2487.113281,1164951
HINDUNILVR,31-10-2022,2545,2572,2542.050049,2550.699951,2513.174072,1324443
HINDUNILVR,01-11-2022,2569,2575.850098,2547.600098,2551.800049,2531.127441,1280132
HINDUNILVR,02-11-2022,2564,2564,2501.399902,2518.300049,2497.898926,1338284
HINDUNILVR,03-11-2022,2515.699951,2549,2508.300049,2546.350098,2525.72168,730444
HINDUNILVR,04-11-2022,2544.949951,2546,2515.25,2520.350098,2499.932373,889055
HINDUNILVR,07-11-2022,2531.100098,2552,2517,2532.800049,2512.281494,1283685
HINDUNILVR,09-11-2022,2510,2544.899902,2492.649902,2508.800049,2488.47583,1436444
HINDUNILVR,10-11-2022,2504,2538,2501.050049,2513.600098,2493.237061,1459152
HINDUNILVR,11-11-2022,2545,2546.800049,2495,2503.050049,2482.772461,1162847
HINDUNILVR,14-11-2022,2506.800049,2513.75,2455.149902,2457.800049,2437.888916,2137131
HINDUNILVR,15-11-2022,2457.800049,2469,2444.149902,2457.5,2437.591309,1558333
HINDUNILVR,16-11-2022,2463.550049,2483,2428.100098,2477.850098,2457.776611,1330395
HINDUNILVR,17-11-2022,2479.949951,2498,2454.25,2460,2440.071045,960476
HINDUNILVR,18-11-2022,2470,2488.550049,2448.850098,2483.699951,2463.579102,1075675
HINDUNILVR,21-11-2022,2483.699951,2512,2470.050049,2501.399902,2481.135742,1354881
HINDUNILVR,22-11-2022,2505.899902,2524,2497,2515.699951,2495.319824,921265
HINDUNILVR,23-11-2022,2521,2525,2502,2507.350098,2487.037598,734152
HINDUNILVR,24-11-2022,2517,2560,2511.149902,2549.149902,2528.498779,999929
HINDUNILVR,25-11-2022,2555,2555.399902,2518.199951,2537.449951,2516.893555,783480
HINDUNILVR,28-11-2022,2527,2542.5,2521.800049,2525.199951,2504.74292,830905
HINDUNILVR,29-11-2022,2527.199951,2639.949951,2527.199951,2634.199951,2612.859863,2542932
HINDUNILVR,30-11-2022,2634,2698,2623,2684.350098,2662.60376,3698270
HINDUNILVR,01-12-2022,2680,2683,2646.850098,2662.850098,2641.277832,1675569
HINDUNILVR,02-12-2022,2660,2660,2607.149902,2615.100098,2593.914795,2101890
HINDUNILVR,05-12-2022,2600,2625,2585.149902,2619.850098,2598.626221,1640511
HINDUNILVR,06-12-2022,2606.800049,2659.949951,2603.850098,2654.550049,2633.045166,1484562
HINDUNILVR,07-12-2022,2660.050049,2719.800049,2656.25,2707.350098,2685.41748,2368561
HINDUNILVR,08-12-2022,2695.050049,2711.050049,2685.75,2705.449951,2683.532715,1314703
HINDUNILVR,09-12-2022,2724.699951,2741.600098,2711.25,2722.25,2700.196533,1883397
HINDUNILVR,12-12-2022,2702.199951,2724,2688.649902,2717.25,2695.237061,1163204
HINDUNILVR,13-12-2022,2717,2720,2697.800049,2710.300049,2688.343506,1265839
HINDUNILVR,14-12-2022,2720,2720,2671.350098,2684.649902,2662.901123,886858
